1755,0.0
1760,0.0
1765,0.0
1770,0.0
1775,0.0
1780,0.0
1785,0.0
1790,0.0
1795,0.0
1800,0.0
1805,0.0
1810,0.0
1815,0.0
1820,0.0
1825,0.0
1830,0.0
1835,0.0
1840,0.0
1845,0.0
1850,0.0
1855,0.0
1860,0.0
1865,0.0
1870,0.0
1875,0.0
1880,0.0
1885,0.0
1890,0.0
1895,0.0
1900,0.0
1905,0.0
1910,0.0
1915,0.0
1920,0.0
1925,0.0
1930,0.0
1935,0.0
1940,0.0
1945,0.0
1950,0.128
1955,0.6980000000000001
1960,0.808
1965,0.8879999999999999
1970,1.0219999999999998
1975,1.146
1980,1.198
1985,1.114
1990,1.158
1995,1.1260000000000001
2000,1.118
2005,1.1720000000000002
2010,1.292
